"","id","Feb1","Feb2","Feb3","Feb4","Feb5","Feb6","Feb7","Feb8","Feb9","Feb10","Feb11","Feb12","Feb13","Feb14","Feb15","Feb16","Feb17","Feb18","Feb19","Feb20","Feb21","Feb22","Feb23","Feb24","Feb25","Feb26","Feb27","Feb28","lon","lat"
"62",867,-1,-0.8,-1.8,-4.5,-3.1,-3.4,-4.4,-0.8,0.1,1.8,0.7,-1.4,-1.7,-2.4,-1.1,1.1,-1.9,0.5,-1.8,2.1,2.5,0.6,-0.3,2.4,1.6,1.5,2.2,2.3,10.968,50.3067
"63",880,0.1,1.1,0.3,-1.4,-1.6,-2.8,-1.6,1.4,3.3,4.8,4.6,1.7,0.5,0.1,2.1,0.5,2.2,2.7,1.6,3.6,6,2.5,3.4,4.6,1.9,2,2.7,3.3,14.3168,51.776
"64",891,1,2.6,0.4,-0.5,-0.1,-1.3,3.6,3.6,5.5,5.5,3.9,2.2,1.7,2.5,2.6,2,1.7,3.2,3.1,3.7,3.4,3.2,3.9,4.8,4.1,5.7,4.9,3.9,8.7058,53.8713
"65",896,-0.1,1.3,1,-1.4,-3,-2.9,-1.4,1.3,3.6,4.7,2.3,-0.5,-1.6,-1.3,-1.7,-0.3,0,1.5,-1.1,4.2,4.7,1.2,2.3,3.6,2.5,1.1,2.8,2.4,10.8626,51.0773
"66",917,1,1.3,0,-2.3,-1.8,-1,-2.4,1.2,2,3.6,2.7,0.7,0.5,1.1,0,2.1,2,2.6,0.9,6.7,5.4,2.2,2.8,4.5,4.1,5.4,4.1,2.6,8.6779,49.8809
"67",953,-1,-1.5,-3.1,-3.7,-5.3,-3.9,-3.4,-0.1,0.6,1.3,0.5,-0.7,3.1,2.9,-0.1,-0.3,-0.8,0.8,-2.2,4.5,1.8,1,1.3,1.8,2.5,3.8,2.1,1.2,7.0541,49.7619
"68",954,4.4,4.6,3,2,1.3,2.5,5.8,5.2,6,6,4.4,3,3.7,4.2,3.6,3.6,5,5.3,4.2,4.3,4,4.7,4.7,5.1,4.5,5,5.5,5,7.45,54.1667
"69",963,0.4,0.9,0.5,-1.4,-1.3,-1.3,-0.1,3.2,5.4,5.5,4.1,1.1,1.9,3.8,1.3,1.3,0.8,1.1,1.7,4.1,3.8,2.3,3.5,4,4.4,6.2,4.8,2.7,8.3424,52.5881
"70",979,-1.8,0,-0.7,-2.9,-3.6,-2,-1.2,1,2.1,3.2,1.3,-0.6,-1.1,0.1,0.3,-0.6,1.2,1.9,-0.8,3.7,3.2,1.2,0.7,2.2,3,4,2.4,1.5,8.2622,50.7313
"71",983,-0.4,-0.7,-6.5,-6.7,-2.8,-3.6,-5.1,-2,-1,0.5,-0.1,-1.5,-1.8,-2.7,-1.4,-0.7,-1.6,-1.2,-1.1,-0.1,0,0.9,0.4,3.1,1.4,0.1,-1,1.9,10.5599,48.5562
"72",991,-0.1,-0.5,-0.9,-4,-3.5,-3.7,-3,-1,1.2,2.6,1.3,-1.3,-2,-2.1,1.6,2.7,2,0.8,-0.1,2.6,4.6,0.8,2.1,3.4,2,0.5,0.9,1,13.713,50.9169
"73",1001,0,1,0.5,-1.4,-1.5,-3,-1.6,1.3,3.2,4.6,4,0,0.1,-0.1,2.2,1,1.6,2.8,1.2,3.1,5.1,1.3,1.8,4.2,1.9,1.3,2.1,2.8,13.5747,51.6451
"74",1048,0.8,1,0.5,-2.5,-2.2,-2.8,-2.1,0.1,2.1,3.6,2.7,0.2,1.3,0.6,3.5,1.4,2.5,2,1,3.2,5,2.6,2.8,4.8,3.3,2.7,3.8,2.4,13.7543,51.128
"75",1050,1.6,2.1,1.7,-1.2,-0.9,-1.5,-0.8,1.2,3.2,4.8,3.7,1.1,2.3,1.4,5.2,3.9,3.4,2.8,1.4,4,5.4,2.8,3.5,5.1,2.5,2.1,3.1,3.2,13.847,51.0221
"76",1051,1.8,2.1,1.8,-1.3,-0.8,-1.4,-0.8,1.3,3.4,4.9,3.6,0.9,1.6,1.3,3.1,2.3,3.1,2.8,1,3.2,5.6,2.8,3.1,5.1,2.7,2.3,3.3,3.2,13.7737,51.024
